Source_Object_title,Source_Note_body,Target_Object_title,Target_Note_body
元宇宙,線上的虛擬世界，可以在那裡進行遊戲式學習，例如: 在藝術館裡流覽NFT,AR擴增實境,能夠減少資源的浪費，利用擴增實境來進行虛擬練習。
回應2.,拒絕被分數綁架！,未來的教室,"1.如果未來的學習目標不改變,很難將未來的教室改變成影片中的樣子
2.知識與應用應該兼備,未來不應該是考試至上的社會"
學生有不同的學習方式,就像是與其給他魚吃，不如教他如何釣魚!?,學生的學習歷程,"學生的學習歷程變成學生的腳手架
讓學生自己安排事情的先後順序
讓學生有自主性與自發性
讓學生有自發性的學生而不是強迫式的學習
學生學習是從自己本身自願開始的，從被動轉為主動
注重學習這件事
而不是注重獲得知識這件事
學習問題解決才是王道"
學生的多元發展,"讓學生能有更多元的發展性
讓學生本身自己能創造更多的無限可能",學生的學習方法,"以往的學生都只是跟著課本學習、考試，但無法將知識真正的內建於自己的想法當中。
未來教室應該以學生有興趣的方面發展，讓他們能夠自行探索"
到處都可學習,有手機就可以學習,沒有教室,"學習可以在任何地方發生
打破場地與設備的限制"
界定學習,怎麼界定學習？如果沒有測驗，怎麼檢驗學習成效？多元的測驗，需要多元的規範，但規範又該如何界定？,高互動科技,不透過紙筆考試學習，而是隨時在生活中探索和發現。
AI分析學習行為,分析學習歷程,智慧教室,電子白板、數位平板取代黑板。
VR,不必耗時間或資源，可以如同身歷其境,AR擴增實境,能夠減少資源的浪費，利用擴增實境來進行虛擬練習。
社會現象,分數綁架了這社會，但又沒辦法改變社會,回應2.,拒絕被分數綁架！
跨國即時互動+語言翻譯,跨國即時互動+語言翻譯,即時回饋,不在是固定紙本，而是能夠隨時更新的即時資訊。
關於無紙化,"資訊設備取代一般紙張,成為上課必備！",改善未來教室,"無紙化
需要大量的設備，延伸出能源供應和軟硬體支援
面板業會很夯
便於連結，學習不僅限於教室
對於學習狀態和環境更好揣摩（如 3D或更多的動態模擬呈現）
克服時間空間的限制
對於各種不便於呈現的場景可以模擬出現
器材可以使用模擬不需額外購買更多的硬體
Future: Where inspiration can be shared as quickly as created 
Nature is interactive
Everything is no distance and immediately
Spend more time and places you want to be
允許學生自我控制速度和建立學習目標
沒有動力動機就沒有學習，實際上學生必須思考
重建學校和學生的生態系統"
沒有老師,但或許未來部會有實體的老師了~~,電腦式的快速思維 如何改善未來教室,"1.未來教室設備要更精進
2.如何讓學習者更適應(或追上)電腦式的快速思維
3.老師需更關注每位學生的學習狀況"
教學遇到的問題,在國小中年級的學生，打字速度比較沒有那麼快，感覺會影響學習的速度,卓穎瑞,"https://youtu.be/gZAyEvlKGXQ (Link->https://youtu.be/gZAyEvlKGXQ)
適當地運用高科技可讓學生更專注於課堂上的講解，並增進他們學習的效果。
觸控螢幕還搭配無線投影伺服器，教師和學生均可將自備的資訊設備，如手機、筆電的畫面無線傳輸到觸控螢幕上，方便師生進行
互動教學與小組討論。"
跨距學習,藉由智慧輔具，擺脫空間的限制，跨域學習。,沒有教室,"學習可以在任何地方發生
打破場地與設備的限制"
沒錢沒辦法學習,感覺會一直生活在網絡之中，沒有網絡沒辦法學習,對於未來學習的想法,"優
1.隨時隨地學習
2.依據自我興趣進修
3.有趣方便
缺
1.容易造成偏廢某些方面技能
2.缺乏團體凝聚力
3.接觸材料單一
4.科技預算要很充足"
QQ,"QQ
或許可以思考老師如何輔助學習者在未來教室的學習步調",沒有老師,但或許未來部會有實體的老師了~~
硬體設備,"讓行動載具可以更加便捷
讓學生獲取學習的方式可以不受限於空間與時間的限制",科技輔助,"科技輔助：
1. 大型觸控螢幕(桌面、牆面上)
2. 無線投影伺服器
3. 課桌椅可自行調整至會議模式or分組討論
4. 連網分享功能
5. 影音環控系統"
如何精進呢?,設備該怎麼精進呢???,電腦式的快速思維 如何改善未來教室,"1.未來教室設備要更精進
2.如何讓學習者更適應(或追上)電腦式的快速思維
3.老師需更關注每位學生的學習狀況"
科技化,科技→智慧互動教室→讓學生更多元發展其興趣,學生的學習方法,"以往的學生都只是跟著課本學習、考試，但無法將知識真正的內建於自己的想法當中。
未來教室應該以學生有興趣的方面發展，讓他們能夠自行探索"
回饋分析結果,回饋分析結果,AI分析學習行為,分析學習歷程
